epoch,test_loss,test_accuracy
319,3.57,70.82
320,3.56,70.3
321,3.44,70.95
322,3.41,70.64
323,3.44,70.4
324,3.45,70.75
325,3.66,70.27
326,3.6,70.29
327,3.44,70.39
328,3.54,70.1
329,3.59,70.01
330,3.55,70.6
331,3.49,70.57
332,3.39,70.64
333,3.48,70.13
334,3.54,70.14
335,3.52,70.15
336,3.41,70.79
337,3.49,70.23
338,3.34,70.86
339,3.46,70.75
340,3.36,70.6
341,3.23,70.76
342,3.4,70.39
343,3.41,70.46
344,3.46,70.23
345,3.46,70.02
346,3.31,70.95
347,3.39,70.68
348,3.35,71.05
349,3.22,71.48
350,3.38,70.57
351,3.3,71.22
352,3.27,71.4
353,3.31,71.09
354,3.27,70.79
355,3.26,71.29
356,3.33,71.05
357,3.28,70.73
358,3.35,70.55
359,3.35,71.43
360,3.28,71.47
361,3.36,70.43
362,3.36,70.52
363,3.42,70.72
364,3.44,70.63
365,3.51,69.97
366,3.33,71.18
367,3.51,70.65
368,3.35,71.16
369,3.51,70.55
370,3.31,71.15
371,3.34,70.88
372,3.3,71.42
373,3.4,70.78
374,3.32,70.97
375,3.34,70.59
376,3.45,70.14
377,3.49,70.29
378,3.36,71.27
379,3.42,71.3
380,3.47,70.76
381,3.53,70.65
382,3.58,70.67
383,3.61,70.21
384,3.43,71.1
385,3.44,71.17
386,3.42,70.78
387,3.5,70.51
388,3.44,70.98
389,3.42,71.02
390,3.58,70.35
391,3.4,71.16
392,3.47,70.88
393,3.43,70.97
394,3.47,71.12
395,3.39,71.31
396,3.41,70.75
397,3.35,71.23
398,3.25,71.14
399,3.38,70.87
400,3.33,71.06
401,3.31,71.11
402,3.5,70.3
403,3.42,70.51
404,3.66,70.07
405,3.52,70.12
406,3.47,69.91
407,3.58,69.32
408,3.5,69.91
409,3.46,70.03
410,3.41,70.58
411,3.42,70.12
412,3.56,69.77
413,3.49,70.24
414,3.42,70.58
415,3.4,70.29
416,3.4,70.48
417,3.49,70.12
418,3.42,70.56
419,3.49,70.3
420,3.62,69.53
421,3.6,69.77
422,3.61,69.78
423,3.69,69.58
424,3.58,69.47
425,3.4,70.22
426,3.43,70.17
427,3.47,69.95
428,3.55,69.67
429,3.52,70.21
430,3.55,70.12
431,3.37,70.68
432,3.4,70.95
433,3.38,70.95
