epoch,test_loss,test_accuracy
1,2.42,10.03
2,1.93,21.25
3,1.94,33.49
4,1.71,41.47
5,2.35,42.05
6,2.09,48.14
7,2.47,48.74
8,2.47,47.66
9,2.36,50.93
10,2.86,49.62
11,2.95,51.35
12,2.52,54.61
13,2.94,55.19
14,3.01,56.07
15,2.91,59.26
16,3.03,55.0
17,3.04,57.52
18,2.94,60.39
19,3.52,57.95
20,3.12,58.63
21,3.52,57.29
22,3.38,59.02
23,3.43,57.25
24,3.04,60.88
25,3.49,58.45
26,3.27,57.63
27,3.03,61.36
28,3.3,57.0
29,3.15,60.01
30,3.39,59.61
31,3.39,60.63
32,3.06,61.65
33,3.09,61.56
34,3.43,60.37
35,3.17,62.22
36,3.38,60.89
37,3.38,62.54
38,3.39,63.29
39,3.31,62.22
40,3.3,63.37
41,3.47,63.48
42,3.2,64.93
43,3.4,63.14
44,3.65,62.88
45,3.58,63.34
46,3.62,62.91
47,3.3,64.93
48,3.19,64.82
49,3.11,65.24
50,2.81,68.03
51,3.37,64.97
52,3.28,65.86
53,3.37,65.84
54,3.58,65.53
55,3.54,65.41
56,3.53,64.54
57,3.56,65.01
58,3.58,64.48
59,3.43,66.45
60,3.33,66.73
61,3.22,66.59
62,3.25,67.82
63,3.28,66.46
64,3.16,67.06
65,2.93,68.11
66,3.04,68.12
67,3.15,68.5
68,3.15,68.25
69,3.33,68.3
70,3.48,67.17
71,3.43,68.34
72,3.59,67.94
73,3.57,67.11
74,3.33,68.0
75,3.22,69.14
76,3.41,68.1
77,3.15,69.81
78,3.27,68.56
79,3.03,68.64
80,3.15,69.78
81,3.38,68.54
82,3.21,70.05
83,3.02,69.76
84,3.25,69.15
85,3.22,69.63
86,2.99,69.68
87,3.14,69.9
88,3.16,69.56
89,3.0,70.49
90,2.91,71.52
91,3.19,70.04
92,3.32,70.36
93,3.23,70.25
94,3.05,71.32
95,3.13,70.95
96,2.93,70.54
97,3.05,71.07
98,3.37,70.15
99,3.11,70.38
100,3.07,70.02
101,3.22,70.6
102,3.31,70.15
103,3.08,70.15
104,3.14,69.76
105,3.21,70.06
106,3.12,70.28
107,3.23,70.42
108,3.36,69.0
109,3.27,69.82
110,3.35,69.7
111,3.47,67.51
112,3.22,69.81
113,3.23,69.82
114,3.3,68.98
115,3.35,70.54
116,3.55,69.86
117,3.59,68.48
118,3.47,69.96
119,3.79,68.79
120,3.68,68.86
121,3.91,68.01
122,3.71,68.53
123,3.48,69.64
124,4.01,66.99
125,4.0,67.36
126,4.05,66.6
127,4.1,66.5
128,4.14,67.14
