epoch,test_loss,test_accuracy
319,2.18,87.99
320,2.0,88.79
321,2.06,88.31
322,1.61,90.33
323,1.78,89.47
324,2.01,88.23
325,1.39,91.34
326,1.98,88.31
327,1.61,90.35
328,1.78,89.44
329,1.56,90.64
330,1.93,88.73
331,1.46,91.17
332,2.11,88.16
333,1.77,89.75
334,2.05,88.56
335,1.99,88.56
336,1.59,90.35
337,1.51,90.5
338,1.79,89.38
339,1.8,89.48
340,1.49,91.07
341,1.97,88.91
342,1.9,89.06
343,1.89,89.18
344,1.83,89.48
345,1.89,89.05
346,1.67,90.09
347,1.96,88.88
348,1.8,89.64
349,1.67,90.26
350,1.56,90.8
351,1.89,89.51
352,1.64,90.98
353,2.19,88.51
354,1.42,92.08
355,2.13,88.91
356,1.65,90.85
357,1.71,90.55
358,2.0,89.59
359,1.73,90.65
360,1.92,89.84
361,2.22,89.21
362,1.57,91.22
363,1.52,91.48
364,1.72,90.81
365,1.54,91.59
366,1.59,91.39
367,1.94,89.87
368,1.73,90.8
369,1.63,91.42
370,1.95,90.28
371,1.76,90.81
372,1.88,90.35
373,1.5,91.92
374,1.82,90.17
375,1.86,90.48
376,1.91,90.06
377,1.78,90.67
378,1.86,90.59
379,1.65,91.22
380,1.81,90.49
381,1.59,91.31
382,1.66,91.06
383,1.89,89.88
384,2.27,88.52
385,1.64,90.93
386,1.96,90.05
387,2.07,89.66
388,1.96,90.08
389,1.98,90.07
390,1.75,90.97
391,2.01,90.14
392,1.81,90.65
393,1.8,90.69
394,1.83,90.72
395,1.88,90.3
396,1.78,90.81
397,1.89,90.19
398,1.99,89.97
399,2.15,89.53
400,1.85,90.28
401,2.06,89.57
402,1.73,91.07
403,1.63,91.4
404,2.04,90.01
405,1.71,91.13
406,1.6,91.63
407,1.61,91.4
408,1.98,90.11
409,1.64,91.52
410,1.6,91.72
411,1.6,91.7
412,1.66,91.6
413,1.77,91.29
414,1.85,90.89
415,1.5,92.16
416,1.61,91.87
417,1.67,91.47
418,1.71,91.31
419,1.75,91.07
420,1.77,91.05
421,1.91,90.64
422,1.67,91.38
423,1.73,91.15
424,1.37,92.61
425,1.55,91.82
426,1.49,92.03
427,1.71,91.25
428,1.57,91.85
429,1.96,90.37
430,1.56,91.8
431,1.68,91.7
432,1.83,91.05
433,1.6,91.83
434,2.25,89.58
435,1.68,91.54
436,1.81,91.36
437,1.94,90.75
438,1.73,90.98
439,2.09,90.39
440,1.85,91.17
441,1.73,91.34
442,1.71,91.72
443,1.85,91.04
444,2.17,90.2
445,2.01,90.53
446,1.82,91.18
447,1.86,91.0
448,2.01,90.44
449,1.91,90.92
450,2.08,90.56
451,1.99,90.63
452,2.1,90.29
453,1.81,91.34
454,1.66,91.89
455,1.83,91.29
456,1.95,90.93
457,1.79,91.09
458,1.76,91.43
459,1.9,90.71
460,2.01,90.6
461,1.89,91.09
462,1.86,90.87
463,1.86,91.06
464,2.21,90.16
465,1.91,90.85
466,1.72,91.7
467,1.9,91.22
468,2.03,90.8
469,1.73,91.5
470,1.93,90.66
471,2.01,90.36
472,2.08,90.01
473,2.27,89.74
474,2.28,89.9
475,2.03,90.53
476,1.86,90.93
477,2.15,90.06
478,1.82,91.45
479,1.99,90.98
480,2.37,89.16
481,1.91,90.82
482,2.01,90.62
483,1.79,91.32
484,1.63,91.98
485,1.97,90.51
486,1.72,91.36
487,1.65,91.97
488,1.78,91.15
489,1.71,91.46
490,2.13,89.93
491,1.79,91.21
492,2.0,90.35
493,1.87,91.19
494,1.95,90.43
495,1.73,91.51
496,1.82,91.11
497,1.91,90.85
498,2.07,90.17
499,2.01,90.1
500,1.7,91.38
