round,epsilon,opt_order
1,0.7751031255879707,12
2,0.8164886449671868,12
3,0.8211371101533419,11
4,0.8227852004001689,11
5,0.8244332906469959,11
6,0.8260813808938229,11
7,0.8277294711406499,11
8,0.8293775613874769,11
9,0.8310256516343039,11
10,0.8326737418811309,11
11,0.8343218321279577,11
12,0.8359699223747847,11
13,0.8376180126216117,11
14,0.8392661028684387,11
15,0.8409141931152657,11
16,0.8425622833620927,11
17,0.8442103736089197,11
18,0.8458584638557467,11
19,0.8475065541025737,11
20,0.8491546443494007,11
21,0.8508027345962277,11
22,0.8524508248430547,11
23,0.8540989150898817,11
24,0.8557470053367087,11
25,0.8573950955835357,11
26,0.8590431858303627,11
27,0.8606912760771896,11
28,0.8623393663240166,11
29,0.8639874565708435,11
30,0.8656355468176705,11
31,0.8672836370644975,11
32,0.8689317273113245,11
33,0.8705798175581515,11
34,0.8722279078049785,11
35,0.8738759980518055,11
36,0.8755240882986325,11
37,0.8771721785454595,11
38,0.8788202687922865,11
39,0.8804683590391135,11
40,0.8821164492859405,11
41,0.8837645395327675,11
42,0.8854126297795945,11
43,0.8870607200264214,11
44,0.8887088102732484,11
45,0.8903569005200754,11
46,0.8920049907669024,11
47,0.8936530810137294,11
48,0.8953011712605564,11
49,0.8969492615073834,11
50,0.8985973517542104,11
51,0.9002454420010373,11
52,0.9018935322478643,11
53,0.9035416224946913,11
54,0.9051897127415184,11
55,0.9068378029883454,11
56,0.9084858932351724,11
57,0.9101339834819994,11
58,0.9117820737288261,11
59,0.9134301639756534,11
60,0.9150782542224801,11
61,0.9167263444693071,11
62,0.9183744347161341,11
63,0.9200225249629611,11
64,0.9216706152097881,11
65,0.9233187054566151,11
66,0.9249667957034421,11
67,0.9266148859502691,11
68,0.9282629761970961,11
69,0.9299110664439231,11
70,0.9315591566907501,11
71,0.9332072469375771,11
72,0.9348553371844041,11
73,0.936503427431231,11
74,0.938151517678058,11
75,0.939799607924885,11
76,0.941447698171712,11
77,0.943095788418539,11
78,0.944743878665366,11
79,0.946391968912193,11
80,0.94804005915902,11
81,0.949688149405847,11
82,0.951336239652674,11
83,0.952984329899501,11
84,0.954632420146328,11
85,0.956280510393155,11
86,0.957928600639982,11
87,0.959576690886809,11
88,0.961224781133636,11
89,0.962872871380463,11
90,0.96452096162729,11
91,0.966169051874117,11
92,0.9678171421209439,11
93,0.9694652323677709,11
94,0.9711133226145979,11
95,0.9727614128614249,11
96,0.9744095031082519,11
97,0.9760575933550787,11
98,0.9777056836019059,11
99,0.9793537738487327,11
100,0.9810018640955599,11
101,0.9826499543423867,11
102,0.9842980445892137,11
103,0.9859461348360407,11
104,0.9875942250828676,11
105,0.9892423153296946,11
106,0.9908904055765216,11
107,0.9925384958233486,11
108,0.9941865860701756,11
109,0.9958346763170026,11
110,0.9974827665638296,11
111,0.9991308568106566,11
112,1.0007789470574835,11
113,1.0024270373043105,11
114,1.0040751275511375,11
115,1.0057232177979645,11
116,1.0073713080447915,11
117,1.0090193982916185,11
118,1.0106674885384455,11
119,1.0123155787852725,11
120,1.0139636690320994,11
121,1.0156117592789264,11
122,1.0165356618926664,10
123,1.0173432440656887,10
124,1.0181508262387107,10
125,1.0189584084117327,10
126,1.019765990584755,10
127,1.020573572757777,10
128,1.021381154930799,10
129,1.0221887371038212,10
130,1.0229963192768432,10
131,1.0238039014498652,10
132,1.0246114836228875,10
133,1.0254190657959095,10
134,1.0262266479689315,10
135,1.0270342301419537,10
136,1.0278418123149757,10
137,1.0286493944879977,10
138,1.02945697666102,10
139,1.030264558834042,10
140,1.031072141007064,10
141,1.0318797231800863,10
142,1.0326873053531083,10
143,1.0334948875261303,10
144,1.0343024696991525,10
145,1.0351100518721745,10
146,1.0359176340451965,10
147,1.0367252162182188,10
148,1.0375327983912408,10
149,1.0383403805642628,10
150,1.039147962737285,10
151,1.039955544910307,10
152,1.040763127083329,10
153,1.0415707092563513,10
154,1.0423782914293733,10
155,1.0431858736023953,10
156,1.0439934557754176,10
157,1.0448010379484396,10
158,1.0456086201214616,10
159,1.0464162022944838,10
160,1.0472237844675059,10
161,1.0480313666405279,10
162,1.04883894881355,10
163,1.0496465309865721,10
164,1.0504541131595941,10
165,1.0512616953326164,10
166,1.0520692775056384,10
167,1.0528768596786604,10
168,1.0536844418516826,10
169,1.0544920240247047,10
170,1.0552996061977267,10
171,1.056107188370749,10
172,1.056914770543771,10
173,1.057722352716793,10
174,1.0585299348898152,10
175,1.0593375170628372,10
176,1.0601450992358592,10
177,1.0609526814088814,10
178,1.0617602635819035,10
179,1.0625678457549255,10
180,1.0633754279279477,10
181,1.0641830101009697,10
182,1.0649905922739917,10
183,1.065798174447014,10
184,1.066605756620036,10
185,1.067413338793058,10
186,1.0682209209660802,10
187,1.0690285031391022,10
188,1.0698360853121243,10
189,1.0706436674851465,10
190,1.0714512496581685,10
191,1.0722588318311905,10
192,1.0730664140042128,10
193,1.0738739961772348,10
194,1.0746815783502568,10
195,1.075489160523279,10
196,1.076296742696301,10
197,1.077104324869323,10
198,1.0779119070423453,10
199,1.0787194892153673,10
200,1.0795270713883893,10
201,1.0803346535614116,10
202,1.0811422357344336,10
203,1.0819498179074556,10
204,1.0827574000804778,10
205,1.0835649822534998,10
206,1.0843725644265219,10
207,1.085180146599544,10
208,1.085987728772566,10
209,1.0867953109455881,10
210,1.0876028931186104,10
211,1.0884104752916324,10
212,1.0892180574646544,10
213,1.0900256396376766,10
214,1.0908332218106986,10
215,1.0916408039837207,10
216,1.092448386156743,10
217,1.093255968329765,10
218,1.094063550502787,10
219,1.0948711326758092,10
220,1.0956787148488312,10
221,1.0964862970218532,10
222,1.0972938791948754,10
223,1.0981014613678974,10
224,1.0989090435409195,10
225,1.0997166257139417,10
226,1.1005242078869637,10
227,1.1013317900599857,10
228,1.102139372233008,10
229,1.10294695440603,10
230,1.103754536579052,10
231,1.1045621187520742,10
232,1.1053697009250962,10
233,1.1061772830981182,10
234,1.1069848652711405,10
235,1.1077924474441625,10
236,1.1086000296171845,10
237,1.1094076117902067,10
238,1.1102151939632288,10
239,1.1110227761362508,10
240,1.111830358309273,10
241,1.112637940482295,10
242,1.113445522655317,10
243,1.1142531048283393,10
244,1.1150606870013613,10
245,1.1158682691743833,10
246,1.1166758513474053,10
247,1.1174834335204276,10
248,1.1182910156934496,10
249,1.1190985978664716,10
250,1.1199061800394938,10
251,1.1207137622125158,10
252,1.1215213443855379,10
253,1.12232892655856,10
254,1.123136508731582,10
255,1.1239440909046041,10
256,1.1247516730776264,10
257,1.1255592552506484,10
258,1.1263668374236704,10
259,1.1271744195966926,10
260,1.1279820017697146,10
261,1.1287895839427367,10
262,1.1295971661157589,10
263,1.130404748288781,10
264,1.131212330461803,10
265,1.1320199126348252,10
266,1.1328274948078472,10
267,1.1336350769808692,10
268,1.1344426591538914,10
269,1.1352502413269134,10
270,1.1360578234999354,10
271,1.1368654056729577,10
272,1.1376729878459797,10
273,1.1384805700190017,10
274,1.139288152192024,10
275,1.140095734365046,10
276,1.140903316538068,10
277,1.1417108987110902,10
278,1.1425184808841122,10
279,1.1433260630571342,10
280,1.1441336452301565,10
281,1.1449412274031785,10
282,1.1457488095762005,10
283,1.1465563917492227,10
284,1.1473639739222448,10
285,1.1481715560952668,10
286,1.148979138268289,10
287,1.149786720441311,10
288,1.150594302614333,10
289,1.1514018847873553,10
290,1.1522094669603773,10
291,1.1530170491333993,10
292,1.1538246313064215,10
293,1.1546322134794436,10
294,1.1554397956524656,10
295,1.1562473778254878,10
296,1.1570549599985098,10
297,1.1578625421715318,10
298,1.158670124344554,10
299,1.159477706517576,10
300,1.160285288690598,10
301,1.1610928708636203,10
302,1.1619004530366424,10
303,1.1627080352096644,10
304,1.1635156173826866,10
305,1.1643231995557086,10
306,1.1651307817287306,10
307,1.1659383639017529,10
308,1.1667459460747749,10
309,1.167553528247797,10
310,1.1683611104208191,10
311,1.1691686925938412,10
312,1.1699762747668632,10
313,1.1707838569398854,10
314,1.1715914391129074,10
315,1.1723990212859294,10
316,1.1732066034589517,10
317,1.1740141856319737,10
318,1.1748217678049957,10
319,1.175629349978018,10
320,1.17643693215104,10
321,1.177244514324062,10
322,1.1780520964970842,10
323,1.1788596786701062,10
324,1.1796672608431282,10
325,1.1804748430161505,10
326,1.1812824251891725,10
327,1.1820900073621945,10
328,1.1828975895352167,10
329,1.1837051717082387,10
330,1.1845127538812608,10
331,1.185320336054283,10
332,1.186127918227305,10
333,1.186935500400327,10
334,1.1877430825733493,10
335,1.1885506647463713,10
336,1.1893582469193933,10
337,1.1901658290924155,10
338,1.1909734112654375,10
