round,epsilon,delta,opt_order
1,1.112916932976778,1.1000000000000001e-05,7
2,1.2986448530612662,1.1000000000000001e-05,7
3,1.3546455760577907,1.1000000000000001e-05,6
4,1.4068123106771915,1.1000000000000001e-05,6
5,1.4609879605796363,1.1000000000000001e-05,6
6,1.5172498881042467,1.1000000000000001e-05,6
7,1.5756784347757584,1.1000000000000001e-05,6
8,1.6363570360314956,1.1000000000000001e-05,6
9,1.6993723403664227,1.1000000000000001e-05,6
10,1.7648143330664106,1.1000000000000001e-05,6
11,1.8327764647064155,1.1000000000000001e-05,6
12,1.9033557845970555,1.1000000000000001e-05,6
13,1.9766530793701491,1.1000000000000001e-05,6
14,2.052773016901119,1.1000000000000001e-05,6
15,2.13182429577377,1.1000000000000001e-05,6
16,2.21260251178261,1.1000000000000001e-05,5
17,2.246526286955222,1.1000000000000001e-05,5
18,2.2809701838016707,1.1000000000000001e-05,5
19,2.3159421768635333,1.1000000000000001e-05,5
20,2.351450362948611,1.1000000000000001e-05,5
21,2.387502963005528,1.1000000000000001e-05,5
22,2.4241083240270567,1.1000000000000001e-05,5
23,2.461274920982648,1.1000000000000001e-05,5
24,2.499011358780567,1.1000000000000001e-05,5
25,2.537326374260133,1.1000000000000001e-05,5
26,2.5762288382144884,1.1000000000000001e-05,5
27,2.6157277574443953,1.1000000000000001e-05,5
28,2.6558322768435043,1.1000000000000001e-05,5
29,2.6965516815156163,1.1000000000000001e-05,5
30,2.737895398924383,1.1000000000000001e-05,5
31,2.7798730010759813,1.1000000000000001e-05,5
32,2.822494206735258,1.1000000000000001e-05,5
33,2.865768883675828,1.1000000000000001e-05,5
34,2.909707050964703,1.1000000000000001e-05,5
35,2.954318881281918,1.1000000000000001e-05,5
36,2.999614703275751,1.1000000000000001e-05,5
37,3.045605003954027,1.1000000000000001e-05,5
38,3.092300431112102,1.1000000000000001e-05,5
39,3.1397117957980725,1.1000000000000001e-05,5
40,3.1878500748157705,1.1000000000000001e-05,5
41,3.23672641326615,1.1000000000000001e-05,5
42,3.2863521271276213,1.1000000000000001e-05,5
43,3.336738705875964,1.1000000000000001e-05,5
44,3.387897815144395,1.1000000000000001e-05,5
45,3.4398412994244283,1.1000000000000001e-05,5
46,3.4925811848081447,1.1000000000000001e-05,5
47,3.546129681772506,1.1000000000000001e-05,5
48,3.6004991880063484,1.1000000000000001e-05,5
49,3.6557022912807335,1.1000000000000001e-05,5
50,3.7117517723633067,1.1000000000000001e-05,5
51,3.768660607977323,1.1000000000000001e-05,5
52,3.826441973806065,1.1000000000000001e-05,5
53,3.8851092475432996,1.1000000000000001e-05,5
54,3.9446760119905266,1.1000000000000001e-05,5
