round,epsilon,delta,opt_order
1,1.0364914244888042,1.1000000000000001e-05,7
2,1.1264095520940194,1.1000000000000001e-05,7
3,1.2241282938490485,1.1000000000000001e-05,7
4,1.3086329105908412,1.1000000000000001e-05,6
5,1.3346694956946674,1.1000000000000001e-05,6
6,1.3612241051874436,1.1000000000000001e-05,6
7,1.3883070456921958,1.1000000000000001e-05,6
8,1.4159288288927159,1.1000000000000001e-05,6
9,1.444100175613456,1.1000000000000001e-05,6
10,1.472832019980593,1.1000000000000001e-05,6
11,1.5021355136658858,1.1000000000000001e-05,6
12,1.5320220302149639,1.1000000000000001e-05,6
13,1.5625031694617362,1.1000000000000001e-05,6
14,1.5935907620306258,1.1000000000000001e-05,6
15,1.6252968739283835,1.1000000000000001e-05,6
16,1.657633811227257,1.1000000000000001e-05,6
17,1.6906141248413415,1.1000000000000001e-05,6
18,1.7242506153979544,1.1000000000000001e-05,6
19,1.7585563382059373,1.1000000000000001e-05,6
20,1.793544608322802,1.1000000000000001e-05,6
21,1.8292290057226972,1.1000000000000001e-05,6
22,1.865623380567193,1.1000000000000001e-05,6
23,1.9027418585809348,1.1000000000000001e-05,6
24,1.9405988465342539,1.1000000000000001e-05,6
25,1.979209037834856,1.1000000000000001e-05,6
26,2.0185874182307626,1.1000000000000001e-05,6
27,2.0587492716267226,1.1000000000000001e-05,6
28,2.0997101860163414,1.1000000000000001e-05,6
29,2.14148605953224,1.1000000000000001e-05,6
30,2.184093106616585,1.1000000000000001e-05,6
31,2.2275478643143933,1.1000000000000001e-05,6
32,2.2718671986920396,1.1000000000000001e-05,6
33,2.3170683113834736,1.1000000000000001e-05,6
34,2.3631687462666795,1.1000000000000001e-05,6
35,2.40134624327716,1.1000000000000001e-05,5
36,2.423769886748045,1.1000000000000001e-05,5
37,2.4464029210087497,1.1000000000000001e-05,5
38,2.46924730133933,1.1000000000000001e-05,5
39,2.492305001278142,1.1000000000000001e-05,5
40,2.51557801279234,1.1000000000000001e-05,5
41,2.5390683464499615,1.1000000000000001e-05,5
42,2.5627780315936173,1.1000000000000001e-05,5
43,2.5867091165158183,1.1000000000000001e-05,5
44,2.6108636686359152,1.1000000000000001e-05,5
45,2.635243774678717,1.1000000000000001e-05,5
46,2.659851540854752,1.1000000000000001e-05,5
47,2.684689093042235,1.1000000000000001e-05,5
48,2.709758576970716,1.1000000000000001e-05,5
49,2.7350621584064525,1.1000000000000001e-05,5
50,2.7606020233395157,1.1000000000000001e-05,5
51,2.7863803781726326,1.1000000000000001e-05,5
52,2.8123994499118017,1.1000000000000001e-05,5
53,2.838661486358687,1.1000000000000001e-05,5
54,2.865168756304803,1.1000000000000001e-05,5
55,2.891923549727521,1.1000000000000001e-05,5
56,2.9189281779878953,1.1000000000000001e-05,5
57,2.9461849740303507,1.1000000000000001e-05,5
58,2.973696292584221,1.1000000000000001e-05,5
59,3.0014645103671755,1.1000000000000001e-05,5
60,3.0294920262905523,1.1000000000000001e-05,5
61,3.057781261666589,1.1000000000000001e-05,5
62,3.0863346604176125,1.1000000000000001e-05,5
63,3.115154689287166,1.1000000000000001e-05,5
64,3.1442438380531104,1.1000000000000001e-05,5
65,3.1736046197427226,1.1000000000000001e-05,5
66,3.2032395708497923,1.1000000000000001e-05,5
67,3.2331512515537555,1.1000000000000001e-05,5
68,3.263342245940866,1.1000000000000001e-05,5
69,3.293815162227436,1.1000000000000001e-05,5
70,3.324572632985168,1.1000000000000001e-05,5
71,3.3556173153685735,1.1000000000000001e-05,5
72,3.3869518913445322,1.1000000000000001e-05,5
73,3.418579067923994,1.1000000000000001e-05,5
74,3.4505015773958227,1.1000000000000001e-05,5
75,3.482722177562861,1.1000000000000001e-05,5
76,3.515243651980159,1.1000000000000001e-05,5
77,3.548068810195463,1.1000000000000001e-05,5
78,3.58120048799192,1.1000000000000001e-05,5
79,3.614641547633073,1.1000000000000001e-05,5
80,3.6483948781101305,1.1000000000000001e-05,5
81,3.682463395391545,1.1000000000000001e-05,5
82,3.716850042674926,1.1000000000000001e-05,5
83,3.751557790641309,1.1000000000000001e-05,5
84,3.7865896377117925,1.1000000000000001e-05,5
85,3.821948610306566,1.1000000000000001e-05,5
86,3.8576377631063714,1.1000000000000001e-05,5
87,3.893660179316402,1.1000000000000001e-05,5
88,3.9300189709326507,1.1000000000000001e-05,5
89,3.9667172790107643,1.1000000000000001e-05,5
90,4.0037582739374065,1.1000000000000001e-05,5
91,4.041145155704135,1.1000000000000001e-05,5
