round,epsilon,delta,opt_order
1,0.9672006087276814,1.1000000000000001e-05,8
2,1.0164226460906942,1.1000000000000001e-05,7
3,1.0492861683573458,1.1000000000000001e-05,7
4,1.08321225165599,1.1000000000000001e-05,7
5,1.118235251279938,1.1000000000000001e-05,7
6,1.1543906333162746,1.1000000000000001e-05,7
7,1.1917150105606384,1.1000000000000001e-05,7
8,1.2302461795932182,1.1000000000000001e-05,7
9,1.2700231590535098,1.1000000000000001e-05,7
10,1.3110862291525938,1.1000000000000001e-05,7
11,1.3394786847045255,1.1000000000000001e-05,6
12,1.3519693857703057,1.1000000000000001e-05,6
13,1.3645765632047624,1.1000000000000001e-05,6
14,1.3773013031554544,1.1000000000000001e-05,6
15,1.390144701898316,1.1000000000000001e-05,6
16,1.4031078659321055,1.1000000000000001e-05,6
17,1.4161919120737343,1.1000000000000001e-05,6
18,1.429397967554483,1.1000000000000001e-05,6
19,1.4427271701171163,1.1000000000000001e-05,6
20,1.4561806681139038,1.1000000000000001e-05,6
21,1.4697596206055519,1.1000000000000001e-05,6
22,1.483465197461064,1.1000000000000001e-05,6
23,1.4972985794585247,1.1000000000000001e-05,6
24,1.5112609583868306,1.1000000000000001e-05,6
25,1.5253535371483644,1.1000000000000001e-05,6
26,1.539577529862629,1.1000000000000001e-05,6
27,1.5539341619708495,1.1000000000000001e-05,6
28,1.5684246703415465,1.1000000000000001e-05,6
29,1.583050303377097,1.1000000000000001e-05,6
30,1.5978123211212896,1.1000000000000001e-05,6
31,1.6127119953678777,1.1000000000000001e-05,6
32,1.6277506097701524,1.1000000000000001e-05,6
33,1.6429294599515312,1.1000000000000001e-05,6
34,1.658249853617179,1.1000000000000001e-05,6
35,1.673713110666674,1.1000000000000001e-05,6
36,1.689320563307718,1.1000000000000001e-05,6
37,1.705073556170913,1.1000000000000001e-05,6
38,1.7209734464256017,1.1000000000000001e-05,6
39,1.7370216038967965,1.1000000000000001e-05,6
40,1.7532194111831905,1.1000000000000001e-05,6
41,1.7695682637762742,1.1000000000000001e-05,6
42,1.786069570180561,1.1000000000000001e-05,6
43,1.802724752034935,1.1000000000000001e-05,6
44,1.819535244235128,1.1000000000000001e-05,6
45,1.8365024950573425,1.1000000000000001e-05,6
46,1.8536279662830235,1.1000000000000001e-05,6
47,1.8709131333247953,1.1000000000000001e-05,6
48,1.888359485353575,1.1000000000000001e-05,6
49,1.9059685254268661,1.1000000000000001e-05,6
50,1.923741770618255,1.1000000000000001e-05,6
51,1.9416807521481083,1.1000000000000001e-05,6
52,1.9597870155154944,1.1000000000000001e-05,6
53,1.9780621206313336,1.1000000000000001e-05,6
54,1.996507641952786,1.1000000000000001e-05,6
55,2.0151251686188996,1.1000000000000001e-05,6
56,2.033916304587518,1.1000000000000001e-05,6
57,2.052882668773464,1.1000000000000001e-05,6
58,2.0720258951880193,1.1000000000000001e-05,6
59,2.091347633079696,1.1000000000000001e-05,6
60,2.110849547076325,1.1000000000000001e-05,6
61,2.130533317328468,1.1000000000000001e-05,6
62,2.1504006396541713,1.1000000000000001e-05,6
63,2.170453225685063,1.1000000000000001e-05,6
64,2.190692803013813,1.1000000000000001e-05,6
65,2.211121115342976,1.1000000000000001e-05,6
66,2.231739922635214,1.1000000000000001e-05,6
67,2.252551001264921,1.1000000000000001e-05,6
68,2.2735561441712675,1.1000000000000001e-05,6
69,2.294757161012663,1.1000000000000001e-05,6
70,2.3161558783226663,1.1000000000000001e-05,6
71,2.3377541396673456,1.1000000000000001e-05,6
72,2.359553805804113,1.1000000000000001e-05,6
73,2.3815567548420247,1.1000000000000001e-05,6
74,2.4037648824035927,1.1000000000000001e-05,6
75,2.4261801017881,1.1000000000000001e-05,6
76,2.448804344136431,1.1000000000000001e-05,6
77,2.47163955859745,1.1000000000000001e-05,6
78,2.494687712495925,1.1000000000000001e-05,6
79,2.5179507915020194,1.1000000000000001e-05,6
80,2.541430799802362,1.1000000000000001e-05,6
81,2.5651297602727188,1.1000000000000001e-05,6
82,2.5890497146522615,1.1000000000000001e-05,6
83,2.6131927237194783,1.1000000000000001e-05,6
84,2.6375608674697104,1.1000000000000001e-05,6
85,2.6621562452943524,1.1000000000000001e-05,6
86,2.686980976161724,1.1000000000000001e-05,6
87,2.7120371987996204,1.1000000000000001e-05,6
88,2.7373270718795744,1.1000000000000001e-05,6
89,2.762852774202831,1.1000000000000001e-05,6
90,2.778734389657619,1.1000000000000001e-05,5
91,2.7933231692232257,1.1000000000000001e-05,5
92,2.8079885421077195,1.1000000000000001e-05,5
93,2.8227309104377154,1.1000000000000001e-05,5
94,2.8375506784510485,1.1000000000000001e-05,5
95,2.852448252507868,1.1000000000000001e-05,5
96,2.867424041101777,1.1000000000000001e-05,5
97,2.8824784548710274,1.1000000000000001e-05,5
98,2.8976119066097894,1.1000000000000001e-05,5
99,2.9128248112794632,1.1000000000000001e-05,5
100,2.928117586020059,1.1000000000000001e-05,5
101,2.94349065016164,1.1000000000000001e-05,5
102,2.9589444252358104,1.1000000000000001e-05,5
103,2.974479334987282,1.1000000000000001e-05,5
104,2.9900958053854927,1.1000000000000001e-05,5
105,3.0057942646362843,1.1000000000000001e-05,5
106,3.021575143193642,1.1000000000000001e-05,5
107,3.0374388737715035,1.1000000000000001e-05,5
108,3.0533858913556178,1.1000000000000001e-05,5
109,3.0694166332154773,1.1000000000000001e-05,5
110,3.085531538916308,1.1000000000000001e-05,5
111,3.1017310503311144,1.1000000000000001e-05,5
112,3.1180156116528073,1.1000000000000001e-05,5
113,3.1343856694063748,1.1000000000000001e-05,5
114,3.1508416724611314,1.1000000000000001e-05,5
115,3.1673840720430237,1.1000000000000001e-05,5
116,3.1840133217470004,1.1000000000000001e-05,5
117,3.2007298775494593,1.1000000000000001e-05,5
118,3.2175341978207355,1.1000000000000001e-05,5
119,3.2344267433376848,1.1000000000000001e-05,5
120,3.2514079772963105,1.1000000000000001e-05,5
121,3.268478365324463,1.1000000000000001e-05,5
122,3.285638375494614,1.1000000000000001e-05,5
123,3.302888478336681,1.1000000000000001e-05,5
124,3.3202291468509433,1.1000000000000001e-05,5
125,3.3376608565209986,1.1000000000000001e-05,5
126,3.3551840853268065,1.1000000000000001e-05,5
127,3.3727993137577945,1.1000000000000001e-05,5
128,3.390507024826034,1.1000000000000001e-05,5
129,3.408307704079484,1.1000000000000001e-05,5
130,3.4262018396153016,1.1000000000000001e-05,5
131,3.4441899220932317,1.1000000000000001e-05,5
132,3.4622724447490545,1.1000000000000001e-05,5
133,3.480449903408116,1.1000000000000001e-05,5
134,3.4987227964989214,1.1000000000000001e-05,5
135,3.5170916250667967,1.1000000000000001e-05,5
136,3.535556892787639,1.1000000000000001e-05,5
137,3.554119105981715,1.1000000000000001e-05,5
138,3.572778773627554,1.1000000000000001e-05,5
139,3.5915364073758997,1.1000000000000001e-05,5
140,3.6103925215637362,1.1000000000000001e-05,5
141,3.6293476332284027,1.1000000000000001e-05,5
142,3.6484022621217544,1.1000000000000001e-05,5
143,3.6675569307244302,1.1000000000000001e-05,5
144,3.6868121642601706,1.1000000000000001e-05,5
145,3.7061684907102173,1.1000000000000001e-05,5
146,3.7256264408277997,1.1000000000000001e-05,5
147,3.745186548152675,1.1000000000000001e-05,5
148,3.764849349025775,1.1000000000000001e-05,5
149,3.784615382603896,1.1000000000000001e-05,5
150,3.8044851908744937,1.1000000000000001e-05,5
151,3.824459318670536,1.1000000000000001e-05,5
152,3.844538313685451,1.1000000000000001e-05,5
153,3.8647227264881425,1.1000000000000001e-05,5
154,3.88501311053808,1.1000000000000001e-05,5
155,3.9054100222004844,1.1000000000000001e-05,5
156,3.9259140207615735,1.1000000000000001e-05,5
157,3.9465256684439076,1.1000000000000001e-05,5
158,3.9672455304218026,1.1000000000000001e-05,5
159,3.9880741748368194,1.1000000000000001e-05,5
160,4.009012172813356,1.1000000000000001e-05,5
161,4.0300600984742925,1.1000000000000001e-05,5
162,4.051218528956749,1.1000000000000001e-05,5
163,4.072488044427904,1.1000000000000001e-05,5
164,4.093869228100893,1.1000000000000001e-05,5
165,4.115362666250821,1.1000000000000001e-05,5
166,4.136968948230817,1.1000000000000001e-05,5
167,4.15868866648821,1.1000000000000001e-05,5
168,4.18052241658077,1.1000000000000001e-05,5
169,4.202470797193024,1.1000000000000001e-05,5
170,4.2245344101527005,1.1000000000000001e-05,5
171,4.246713860447202,1.1000000000000001e-05,5
172,4.269009756240214,1.1000000000000001e-05,5
173,4.2914227088883745,1.1000000000000001e-05,5
174,4.313953332958034,1.1000000000000001e-05,5
175,4.336602246242109,1.1000000000000001e-05,5
176,4.359370069777028,1.1000000000000001e-05,5
177,4.382257427859754,1.1000000000000001e-05,5
178,4.4052649480649,1.1000000000000001e-05,5
179,4.42839326126195,1.1000000000000001e-05,5
180,4.4516430016325375,1.1000000000000001e-05,5
181,4.475014806687856,1.1000000000000001e-05,5
182,4.4985093172861275,1.1000000000000001e-05,5
183,4.522127177650175,1.1000000000000001e-05,5
184,4.545869035385093,1.1000000000000001e-05,5
185,4.569735541495998,1.1000000000000001e-05,5
186,4.593727350405885,1.1000000000000001e-05,5
187,4.6178451199735715,1.1000000000000001e-05,5
188,4.642089511511728,1.1000000000000001e-05,5
189,4.666461189805026,1.1000000000000001e-05,5
190,4.690960823128348,1.1000000000000001e-05,5
191,4.71558908326513,1.1000000000000001e-05,5
192,4.740346645525772,1.1000000000000001e-05,5
193,4.765234188766153,1.1000000000000001e-05,5
194,4.79025239540625,1.1000000000000001e-05,5
195,4.81540195144885,1.1000000000000001e-05,5
196,4.840683546498361,1.1000000000000001e-05,5
197,4.866097873779719,1.1000000000000001e-05,5
198,4.891645630157393,1.1000000000000001e-05,5
199,4.917327516154498,1.1000000000000001e-05,5
200,4.943144235972006,1.1000000000000001e-05,5
201,4.969096497508048,1.1000000000000001e-05,5
202,4.995185012377331,1.1000000000000001e-05,5
203,5.021410495930645,1.1000000000000001e-05,5
204,5.0477736672744795,1.1000000000000001e-05,5
205,5.074275249290747,1.1000000000000001e-05,5
206,5.100915968656599,1.1000000000000001e-05,5
207,5.127696555864353,1.1000000000000001e-05,5
208,5.154617745241523,1.1000000000000001e-05,5
209,5.181680274970948,1.1000000000000001e-05,5
210,5.20888488711105,1.1000000000000001e-05,5
211,5.2362323276161655,1.1000000000000001e-05,5
212,5.263723346357004,1.1000000000000001e-05,5
213,5.291358697141215,1.1000000000000001e-05,5
214,5.319139137734046,1.1000000000000001e-05,5
215,5.3470654298791365,1.1000000000000001e-05,5
216,5.375138339319392,1.1000000000000001e-05,5
217,5.403358635817983,1.1000000000000001e-05,5
218,5.431727093179456,1.1000000000000001e-05,5
219,5.4602444892709485,1.1000000000000001e-05,5
220,5.488911606043524,1.1000000000000001e-05,5
221,5.517729229553606,1.1000000000000001e-05,5
222,5.546698149984529,1.1000000000000001e-05,5
223,5.575819161668213,1.1000000000000001e-05,5
224,5.6050930631069456,1.1000000000000001e-05,5
225,5.634520656995272,1.1000000000000001e-05,5
226,5.664102750242007,1.1000000000000001e-05,5
227,5.6938401539923555,1.1000000000000001e-05,5
228,5.723733683650159,1.1000000000000001e-05,5
229,5.753784158900256,1.1000000000000001e-05,5
230,5.783992403730958,1.1000000000000001e-05,5
231,5.81435924645664,1.1000000000000001e-05,5
232,5.844885519740447,1.1000000000000001e-05,5
233,5.875572060617136,1.1000000000000001e-05,5
234,5.906419710516029,1.1000000000000001e-05,5
235,5.93742931528408,1.1000000000000001e-05,5
236,5.968601725209057,1.1000000000000001e-05,5
237,5.999937795042887,1.1000000000000001e-05,5
238,6.031438384025057,1.1000000000000001e-05,5
239,6.063104355906203,1.1000000000000001e-05,5
240,6.094936578971784,1.1000000000000001e-05,5
241,6.126935926065887,1.1000000000000001e-05,5
242,6.159103274615158,1.1000000000000001e-05,5
243,6.191439506652877,1.1000000000000001e-05,5
244,6.223945508843128,1.1000000000000001e-05,5
245,6.256622172505123,1.1000000000000001e-05,5
246,6.289470393637625,1.1000000000000001e-05,5
247,6.322491072943533,1.1000000000000001e-05,5
248,6.355685115854574,1.1000000000000001e-05,5
249,6.38905343255613,1.1000000000000001e-05,5
250,6.422596938012198,1.1000000000000001e-05,5
251,6.456316551990469,1.1000000000000001e-05,5
252,6.490213199087553,1.1000000000000001e-05,5
253,6.5242878087543446,1.1000000000000001e-05,5
254,6.558541315321486,1.1000000000000001e-05,5
255,6.592974658025011,1.1000000000000001e-05,5
256,6.62758878103207,1.1000000000000001e-05,5
257,6.662384633466845,1.1000000000000001e-05,5
258,6.697363169436558,1.1000000000000001e-05,5
259,6.732525348057652,1.1000000000000001e-05,5
260,6.767872133482068,1.1000000000000001e-05,5
261,6.803404494923689,1.1000000000000001e-05,5
262,6.839123406684925,1.1000000000000001e-05,5
263,6.87502984818342,1.1000000000000001e-05,5
264,6.9111248039789155,1.1000000000000001e-05,5
265,6.947409263800229,1.1000000000000001e-05,5
266,6.983884222572422,1.1000000000000001e-05,5
267,7.020550680444047,1.1000000000000001e-05,5
268,7.057409642814601,1.1000000000000001e-05,5
269,7.094462120362085,1.1000000000000001e-05,5
270,7.1317091290707015,1.1000000000000001e-05,5
271,7.169151690258728,1.1000000000000001e-05,5
272,7.206790830606524,1.1000000000000001e-05,5
273,7.244627582184676,1.1000000000000001e-05,5
274,7.282662982482301,1.1000000000000001e-05,5
